"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"96","RT @varanasilive: <U+0905><U+092C> <U+0939><U+0926> <U+0939><U+094B> <U+0917><U+092F><U+0940> <U+0905><U+092B><U+0935><U+093E><U+0939><U+094B><U+0902> <U+0915><U+093F> <U+0905><U+092C> <U+092F><U+0947> <U+0915><U+094C><U+0928> <U+0915><U+0939> <U+0930><U+0939><U+093E> <U+0939><U+0948> <U+0915><U+093F> #flipkart <U+0915><U+0940> <U+0938><U+0947><U+0932> <U+092E><U+0947><U+0902> <U+0938><U+093E><U+0939><U+093F><U+0924><U+094D><U+092F> <U+0905><U+0915><U+0947><U+0921><U+092E><U+0940> <U+0938><U+092E><U+094D><U+092E><U+093E><U+0928> <U+092D><U+093E><U+0930><U+0940> <U+0921><U+093F><U+0938><U+094D><U+0915><U+093E><U+0909><U+0902><U+091F> <U+0914><U+0930>
<ed><U+00A0><U+00BD><ed><U+00B1><U+0089> <U+0915><U+0948><U+0936> <U+0906><U+0928> <U+0921><U+093F><U+0932><U+0947>…",FALSE,0,NA,2015-10-20 14:22:49,FALSE,NA,"656475662757203968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sh_vArsHa",142,TRUE,FALSE,NA,NA
"97","#deals #Sennheiser RS 120-8 II Wireless Headphones is selling cheaper by 3% at INR 7400 today https://t.co/M2gdFefwJk #flipkart",FALSE,0,NA,2015-10-20 14:20:38,FALSE,NA,"656475113278349312",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","WorlWindWriting",0,FALSE,FALSE,NA,NA
"98","#deals #Sennheiser PMX80 Sports II Wired Headphones is selling cheaper at INR 1380 today https://t.co/7A8fQxEi0h #flipkart",FALSE,0,NA,2015-10-20 14:20:38,FALSE,NA,"656475112460427264",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","WorlWindWriting",0,FALSE,FALSE,NA,NA
"99","Beautiful Girls Let your skin feel #10yearsyounger with Pond’s Age Miracle. Buy: https://t.co/DVajEswWFP #bigbilliondays #flipkart #movies…",FALSE,0,NA,2015-10-20 14:15:07,FALSE,NA,"656473725395738624",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","chrisjonny9",0,FALSE,FALSE,NA,NA
"100","#deals #Zebronics Zeb-S500 2.0 Multimedia Speakers is selling cheaper by 21% at INR 355 today https://t.co/pVdAnlh9jm #flipkart",FALSE,0,NA,2015-10-20 14:10:11,FALSE,NA,"656472484577865728",NA,"<a href=""http://www.fliptrak.in"" rel=""nofollow"">fliptrak-node</a>","pricetrak",0,FALSE,FALSE,NA,NA
"101","#deals #Samsung Galaxy Note 5 is selling cheaper by 1% at INR 52900 today https://t.co/qlOqeR8BWd #flipkart",FALSE,0,NA,2015-10-20 14:08:24,FALSE,NA,"656472035808284672",NA,"<a href=""http://www.fliptrak.in"" rel=""nofollow"">fliptrak-node</a>","pricetrak",0,FALSE,FALSE,NA,NA
"102","RT @nabindust: #Techerina From The Mountain To The Ocean, Available in #Flipkart https://t.co/yRteepW8YW @RunwithRoshni https://t.co/lrRbQY…",FALSE,0,NA,2015-10-20 14:02:39,FALSE,NA,"656470588521881604",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rai_basant",5,TRUE,FALSE,NA,NA
"103","VoltDB to Power Flipkart's Real-Time #OrderManagement --, Oct. 20, 2015 /PRNewswire/ -- https://t.co/BF3uTi8C5J #flipkart #realtime",FALSE,0,NA,2015-10-20 14:02:06,FALSE,NA,"656470450294366208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tmeusel",0,FALSE,FALSE,NA,NA
"104","#deals Morphy Richards At 401 1400 W Pop Up Toaster is selling cheaper at INR 1890 today https://t.co/fD5ca2SrRm #flipkart",FALSE,0,NA,2015-10-20 14:02:03,FALSE,NA,"656470435136036864",NA,"<a href=""http://www.fliptrak.in"" rel=""nofollow"">fliptrak-node</a>","pricetrak",0,FALSE,FALSE,NA,NA
"105","#deals Urbanears Plattan Wired Headset is selling cheaper by 15% at INR 2499 today https://t.co/hJArT65Y7w #flipkart",FALSE,0,NA,2015-10-20 13:58:38,FALSE,NA,"656469575798624256",NA,"<a href=""http://www.fliptrak.in"" rel=""nofollow"">fliptrak-node</a>","pricetrak",0,FALSE,FALSE,NA,NA
